Maximum number of supported files	Running Time	Running Time	Running Time	Running Time	Running Time	Running Time
	ms	ms	ms	ms	ms	ms
update	RSKQ8	RSKQ10	RSKQ12	SKQ8	SKQ10	SKQ12
262144	0.3938	0.46974	0.54675	0.6419	0.7657	0.8912
524288	0.39689	0.48076	0.55986	0.6469	0.7836	0.9126
1048576	0.40158	0.481	0.56305	0.6546	0.784	0.9178
2097152	0.40745	0.49398	0.56741	0.6641	0.8052	0.9249
4194304	0.41185	0.49794	0.56805	0.6713	0.8116	0.9259
8388608	0.41621	0.50895	0.58298	0.6784	0.8296	0.9503
1.67772E7	0.43414	0.51612	0.58805	0.7076	0.8413	0.9585
















