n	RSKQ4	RSKQ8	RSKQ12	SKQ4	SKQ8	SKQ12	Cons4	Cons8	Cons12
	s	s	s	s	s	s	s	s	s
WQ									

500	1856.7	2439.644	3351.322	8308.562	11198.314	15236.446	149944	149944	149944
750	1974.082	3433.723	5507.612	8922.321	15215.526	19405.324	149944	149944	149944
1000	1994.641	3789.12	6293.68	8799.592	17328.537	25448.837	149944	149944	149944
1250	2833.321	4405.225	6522.506	12867.852	19401.126	29964.275	149944	149944	149944
1500	2866.477	5338.504	7876.719	13089.734	23716.132	34944	149944	149944	149944
1750	3373.75	6306.385	9218.297	14968.252	28131.828	41527.979	149944	149944	149944
2000	3797.054	7115.481	10361.79	17035.061	31722.563	46859.854	149944	149944	149944
