Updated count of keyword	Running Time	Running Time	Running Time	Running Time	Running Time	Running Time
	ms	ms	ms	ms	ms	ms
maxfiles = 2^20 order=12	4	8	12	4	8	12

500	18.567	24.39644	33.51322	83.08562	111.98314	152.36446
750	19.74082	34.33723	55.07612	89.22321	152.15526	194.05324
1000	19.94641	37.8912	62.9368	87.99592	173.28537	254.48837
1250	28.33321	44.05225	65.22506	128.67852	194.01126	299.64275
1500	28.66477	53.38504	78.76719	130.89734	237.16132	349.44
1750	33.7375	63.06385	92.18297	149.68252	281.31828	415.27979
2000	37.97054	71.15481	103.6179	170.35061	317.22563	468.59854
2250	43.56546	80.78643	118.45342	192.90345	360.18056	529.87441
2500	47.63632	88.23038	132.07356	213.94491	402.06895	586.39799


SKQ的搜索耗时约为RSKQ的3.5~4.6倍，基本上在4.4到4.6倍
